no dst              Korf           6-6-6-6             8-8-8             9-8-7             9-9-6            max-of          improved             small    d1    d2
38  96        38.173.507        58.097.633         9.577.883         3.573.949         1.906.127         1.638.334         5.569.572         7.625.016  0,58  0,80 **
39 104   161.211.472.633    34.198.605.172    22.810.919.845     6.881.101.921     2.912.577.301     2.428.595.642    13.479.027.313    21.307.377.603  0,59  0,93 **
40  82        65.099.578        26.320.497        49.291.000        26.655.910        10.486.000         7.166.383        15.211.386        19.188.906  0,31  0,39 **
41 106    26.998.190.480     8.064.453.928     1.737.010.534     1.123.917.776       561.944.277       455.028.148     7.118.193.532     7.573.206.864  4,10  4,36   
42 108   245.852.754.920    37.492.323.962     9.339.335.844     7.508.532.598     3.490.897.448     2.697.310.294    39.893.389.786    50.231.887.608  4,27  5,38   
43 104    55.147.320.204     8.816.151.498     4.378.714.353     3.498.876.258     1.532.474.999     1.090.696.435     8.704.466.404    11.222.700.070  1,99  2,56   
44  93       867.106.238       181.555.996        37.853.812        11.869.090         7.686.937         5.547.600        54.511.645        58.563.520  1,44  1,55   
45 101    79.148.491.306    17.068.061.084     5.614.562.048     2.909.124.921     2.408.543.192     1.339.279.458    14.386.085.329    16.291.382.555  2,56  2,90   
46 100    65.675.717.510    21.674.806.323     9.872.851.915    10.304.210.129     8.017.940.089     3.402.288.275     1.721.078.711     3.323.229.228  0,17  0,34 **
47  92    30.443.173.162     4.385.270.986     3.825.636.827     4.520.442.316     1.479.759.728       960.463.883     4.208.353.106     5.381.998.824  1,10  1,41   
48 107   555.085.543.507    58.365.224.981    99.614.525.233    68.013.167.519    19.890.964.633    12.563.246.704    97.237.792.233   120.724.359.750  0,98  1,21 * 
49 100   108.197.305.702    11.220.738.849     5.526.627.744     4.160.235.910     2.792.736.271     1.587.674.537     8.357.503.208    12.414.119.411  1,51  2,25   
50 113 4.156.099.168.506 1.067.321.687.213   334.283.260.227   168.384.195.109   152.720.707.871   100.026.128.248                 -   493.791.380.323     -  1,48   

d1 = improved / 8-8-8, d2 = small / 8-8-8, *: d1 < 1, d2 < 1.
